통화,현찰사실때,현찰파실때,송금보내실때,송금받으실때,T/C사실때,외화수표파실때,매매기준율,환가료율,미화환산율
미국 USD,1394.91,1346.93,1384.31,1357.53,1387.37,1354.81,1370.92,7.17874,1
유로 EUR,1498.73,1440.25,1484.18,1454.8,1491.53,1452.43,1469.49,5.863,1.072
일본 JPY,907.79,876.57,900.91,883.44,901.09,882.97,892.18,2.16773,0.6508
중국 CNY,198.39,179.51,190.83,187.06,199.34,186.73,188.95,7.08,0.1378
영국 GBP,1748.54,1680.99,1731.9,1697.62,1740.48,1694.17,1714.76,7.381,1.2509
캐나다 CAD,1022.26,982.77,1012.53,992.49,1017.54,990.55,1002.51,7.00366,0.7313
스위스 CHF,1536.68,1477.31,1522.06,1491.93,1529.6,1490.41,1507,3.70333,1.0993
홍콩 HKD,178.5,171.61,176.8,173.31,177.68,173.03,175.05,6.55766,0.1277
스웨덴 SEK,130.96,119.56,128.05,125.52,128.68,125.31,126.78,6.14733,0.0925
호주 AUD,908.21,873.12,899.57,881.76,904.02,880.21,890.66,6.425,0.6497
덴마크 DKK,203.49,185.77,198.96,195.03,199.94,194.72,196.99,5.84166,0.1437
노르웨이 NOK,129.91,118.6,127.02,124.51,127.65,124.28,125.76,6.65133,0.0918
사우디아라비아 SAR,388.51,340.27,369.14,361.84,370.97,361.04,365.49,7.98366,0.2666
쿠웨이트 KWD,4741.3,4095.78,4496.44,4407.42,4518.7,4400.34,4451.93,5.725,3.2474
바레인 BHD,3869.79,3346.07,3673.4,3600.66,3691.58,3591.93,3637.03,8.684,2.653
아랍에미리트공화국 AED,393.82,347.54,377.02,369.56,378.89,369.04,373.29,5.075,0.2723
싱가포르 SGD,1030.31,990.12,1020.31,1000.12,1025.36,998.36,1010.22,7.165,0.7369
말레이시아 MYR,308.93,266.37,290.52,284.78,291.96,284.41,287.65,5.269,0.2098
뉴질랜드 NZD,831.87,799.74,823.96,807.65,828.04,805.99,815.81,7.49633,0.5951
태국 THB,39.15,35.05,37.65,36.92,37.84,36.88,37.29,4.525,0.0272
인도네시아 IDR,9.43,7.72,8.65,8.49,8.69,8.48,8.57,8.675,0.0063
인도 INR,17.91,15.29,16.59,16.27,16.67,16.23,16.43,9.23617,0.012
남아공화국 ZAR,78.25,66.67,73.32,71.59,73.54,71.39,72.46,10.782,0.0529
러시아 RUB,16.14,12.17,15.25,14.23,14.96,14.22,14.74,2.975,0.0107
대만 TWD,47.93,38.15,42.81,41.97,43.02,41.93,42.39,3.479,0.0309
베트남 VND,6.08,4.81,5.5,5.4,5.53,5.4,5.45,5.425,0.004
필리핀 PHP,26.48,22.11,24.31,23.84,24.43,23.79,24.08,8.724,0.0176
멕시코 MXN,90.19,73.06,82.43,80.81,82.84,80.51,81.62,13.92,0.0596
브라질 BRL,294.51,240.53,270.46,264.05,271.26,263.23,267.25,11.639,0.195
카타르 QAR,405.94,345.81,379.63,372.12,381.51,371.78,375.88,3.355,0.2742
오만 OMR,3810.29,3311.75,3596.63,3525.41,3614.43,3521.1,3561.02,4.485,2.5975
헝가리 HUF,4.08,3.45,3.78,3.7,3.79,3.7,3.74,11.042,0.0027
폴란드 PLN,368.78,314.15,345.22,337.71,346.58,336.94,341.47,8.35,0.2491
튀르키예 TRY,48.8,38.25,42.86,41.94,43.03,41.29,42.4,56.94166,0.0309
카자흐스탄 KZT,3.4,2.74,3.1,3.04,3.11,3.03,3.07,19.175,0.0022
체코 CZK,63.06,52.9,58.76,57.49,58.99,57.37,58.12,8.09733,0.0424
파키스탄 PKR,5.12,4.34,4.97,4.89,5,4.87,4.93,23.64,0.0036
방글라데시 BDT,12.99,11,12.61,12.37,12.67,12.34,12.49,11.0099,0.0091
이집트 EGP,29.82,26.38,28.95,28.39,29.1,28.35,28.67,13.35,0.0209
브루나이 BND,1050.62,949.61,1020.31,1000.12,1025.36,998.21,1010.22,7.395,0.7369
이스라엘 ILS,401.41,335.73,368.57,361.28,370.39,360.62,364.92,6.522,0.2662
요르단 JOD,2105.74,1778.96,1952.98,1914.32,1962.65,1909.16,1933.65,9.611,1.4104
몽골 MNT,0.48,0.34,0.41,0.41,0.41,0.41,0.41,13.475,0.0003
알제리 DZD,10.43,9.93,10.28,10.08,10.33,10.07,10.18,13.35,0.0074
스리랑카 LKR,4.69,4.47,4.62,4.54,4.64,4.53,4.58,14.20833,0.0033
칠레 CLP,1.57,1.29,1.44,1.42,1.45,1.42,1.43,8.627,0.001
케냐 KES,10.64,10.13,10.48,10.28,10.53,10.26,10.38,10.23333,0.0076
탄자니아 TZS,0.54,0.52,0.53,0.53,0.53,0.53,0.53,9.32333,0.0004
콜롬비아 COP,0.35,0.35,0.35,0.35,0.35,0,0.35,0,0.0003
네팔 NPR,10.53,10.03,10.38,10.18,10.43,0,10.28,0,0.0075
마카오 MOP,174.1,165.62,171.55,168.17,172.4,0,169.86,0,0.1239
캄보디아 KHR,0.34,0.34,0.34,0.34,0.34,0,0.34,0,0.0002
피지 FJD,618.67,588.5,609.61,597.55,612.63,0,603.58,0,0.4403
리비아 LYD,289.52,275.4,285.28,279.64,286.69,0,282.46,0,0.206
루마니아 RON,302.87,288.11,298.44,292.54,299.92,0,295.49,0,0.2156
미얀마 MMK,0.66,0.64,0.65,0.65,0.65,0,0.65,0,0.0005
에티오피아 ETB,24.69,23.49,24.33,23.85,24.45,0,24.09,0,0.0176
우즈베키스탄 UZS,0.11,0.11,0.11,0.11,0.11,0,0.11,0,0.0001
